Attendance_ID,Employee_ID,CheckIn,CheckOut
1,46,6/7/2024 19:01,6/8/2024 3:01
2,89,3/22/2024 21:49,3/23/2024 7:49
3,108,4/21/2024 0:08,4/21/2024 9:08
4,161,5/31/2024 22:09,6/1/2024 5:09
5,98,5/1/2024 13:47,5/1/2024 20:47
6,128,3/27/2024 23:39,3/28/2024 10:39
7,148,6/20/2024 18:30,6/21/2024 1:30
8,79,6/14/2024 3:09,6/14/2024 12:09
9,25,3/6/2024 13:05,3/6/2024 20:05
10,106,5/2/2024 5:29,5/2/2024 11:29
11,3,5/5/2024 22:27,5/6/2024 4:27
12,117,5/6/2024 20:37,5/7/2024 2:37
13,137,6/15/2024 1:36,6/15/2024 7:36
14,50,5/26/2024 2:47,5/26/2024 8:47
15,163,6/17/2024 10:29,6/17/2024 21:29
16,23,4/3/2024 15:08,4/3/2024 21:08
17,38,4/2/2024 22:25,4/3/2024 10:25
18,182,5/18/2024 5:53,5/18/2024 11:53
19,2,1/23/2024 23:35,1/24/2024 9:35
20,197,5/24/2024 22:04,5/25/2024 5:04
21,127,3/22/2024 23:18,3/23/2024 6:18
22,127,1/8/2024 20:40,1/9/2024 8:40
23,120,5/2/2024 4:59,5/2/2024 10:59
24,135,3/6/2024 10:36,3/6/2024 21:36
25,168,2/24/2024 4:19,2/24/2024 13:19
26,172,2/3/2024 11:40,2/3/2024 21:40
27,165,5/10/2024 1:05,5/10/2024 10:05
28,93,4/16/2024 23:41,4/17/2024 10:41
29,51,5/30/2024 19:59,5/31/2024 1:59
30,159,3/16/2024 13:39,3/16/2024 23:39
31,39,3/5/2024 16:31,3/5/2024 23:31
32,149,3/25/2024 9:47,3/25/2024 17:47
33,166,6/5/2024 8:13,6/5/2024 16:13
34,20,2/14/2024 1:24,2/14/2024 11:24
35,21,5/5/2024 23:25,5/6/2024 6:25
36,153,3/16/2024 19:04,3/17/2024 5:04
37,137,5/25/2024 0:57,5/25/2024 9:57
38,90,3/18/2024 6:49,3/18/2024 13:49
39,63,6/21/2024 17:30,6/22/2024 3:30
40,63,1/28/2024 10:15,1/28/2024 17:15
41,157,6/8/2024 0:02,6/8/2024 10:02
42,102,5/19/2024 2:35,5/19/2024 12:35
43,167,4/1/2024 20:44,4/2/2024 6:44
44,194,2/17/2024 8:00,2/17/2024 17:00
45,98,4/21/2024 16:53,4/21/2024 23:53
46,33,4/4/2024 12:06,4/4/2024 19:06
47,60,4/1/2024 20:39,4/2/2024 2:39
48,147,2/15/2024 11:47,2/15/2024 19:47
49,68,5/29/2024 15:30,5/29/2024 23:30
50,148,5/8/2024 8:25,5/8/2024 16:25
51,148,2/23/2024 22:58,2/24/2024 6:58
52,18,3/9/2024 8:50,3/9/2024 17:50
53,127,2/29/2024 5:05,2/29/2024 13:05
54,10,3/31/2024 2:07,3/31/2024 12:07
55,30,1/15/2024 21:40,1/16/2024 9:40
56,114,4/11/2024 12:59,4/11/2024 21:59
57,153,3/19/2024 17:09,3/20/2024 4:09
58,84,6/22/2024 13:29,6/22/2024 22:29
59,37,5/3/2024 9:41,5/3/2024 18:41
60,148,1/25/2024 16:11,1/26/2024 3:11
