Attendance_ID,Employee_ID,CheckIn,CheckOut
1,55,2023-11-21 12:53:04,2023-11-21 20:53:04
2,184,2023-12-18 21:08:48,2023-12-19 07:08:48
3,44,2023-06-10 04:25:35,2023-06-10 10:25:35
4,108,2023-10-23 15:28:33,2023-10-24 02:28:33
5,194,2023-06-09 13:40:32,2023-06-09 23:40:32
6,188,2023-10-19 12:50:15,2023-10-19 19:50:15
7,164,2023-03-19 02:25:43,2023-03-19 11:25:43
8,30,2023-12-14 02:24:41,2023-12-14 09:24:41
9,107,2023-09-23 17:22:33,2023-09-24 01:22:33
10,92,2023-06-22 12:04:57,2023-06-22 23:04:57
11,47,2023-12-29 18:14:02,2023-12-30 04:14:02
12,127,2023-10-28 02:57:34,2023-10-28 14:57:34
13,78,2023-06-27 09:12:52,2023-06-27 20:12:52
14,194,2023-11-03 23:44:37,2023-11-04 09:44:37
15,48,2023-10-07 17:06:06,2023-10-08 01:06:06
16,66,2023-03-06 13:53:55,2023-03-06 20:53:55
17,160,2023-06-26 20:21:56,2023-06-27 05:21:56
18,170,2023-03-02 11:14:21,2023-03-02 20:14:21
19,120,2023-12-04 04:33:55,2023-12-04 14:33:55
20,183,2023-07-06 19:56:30,2023-07-07 05:56:30
21,68,2023-08-04 05:42:46,2023-08-04 16:42:46
22,99,2023-07-19 07:43:06,2023-07-19 19:43:06
23,160,2023-03-05 13:13:07,2023-03-06 00:13:07
24,195,2023-02-25 02:06:09,2023-02-25 11:06:09
25,200,2023-09-03 14:35:13,2023-09-03 20:35:13
26,82,2023-05-15 22:13:12,2023-05-16 08:13:12
27,122,2023-08-29 01:30:29,2023-08-29 13:30:29
28,2,2023-10-07 22:47:32,2023-10-08 06:47:32
29,140,2023-03-25 00:00:57,2023-03-25 12:00:57
30,104,2023-08-10 03:27:07,2023-08-10 12:27:07
31,157,2023-04-13 04:52:20,2023-04-13 15:52:20
32,33,2023-09-01 13:07:07,2023-09-01 19:07:07
33,6,2023-02-14 19:44:52,2023-02-15 07:44:52
34,120,2023-02-18 22:19:05,2023-02-19 06:19:05
35,62,2023-03-18 07:35:37,2023-03-18 18:35:37
36,19,2023-02-26 15:30:40,2023-02-26 23:30:40
37,41,2023-03-29 23:04:12,2023-03-30 09:04:12
